step_slug,blueprint_slug,step_order,title,description,estimated_hours,remote_friendly
lift-sharing-s04,lift-sharing,4,Recruit a critical mass,Sign up enough drivers and riders on the core routes for matches to actually occur.,6,true
lift-sharing-s05,lift-sharing,5,Launch and seed the first matches,Manually broker the first pairings so early users experience success.,4,true
lift-sharing-s06,lift-sharing,6,Monitor and celebrate savings,Track shared rides and publicise kilometres and CO2 saved to sustain participation.,3,true
walking-school-bus-s01,walking-school-bus,1,Partner with the school,Get school endorsement and help contacting interested families.,4,true
walking-school-bus-s02,walking-school-bus,2,Design safe routes and stops,"Map 1-3 walking routes with timed pickup stops, avoiding dangerous crossings.",5,false
walking-school-bus-s03,walking-school-bus,3,Recruit parent walkers,Sign up enough adult volunteers for a reliable rota with backups.,5,true
walking-school-bus-s04,walking-school-bus,4,Set safety protocol,"Agree adult-child ratios, registration procedure, absence handling and bad-weather rules.",3,true
walking-school-bus-s05,walking-school-bus,5,Pilot for two weeks,"Run the routes daily, adjust timings and fix pain points.",8,false
walking-school-bus-s06,walking-school-bus,6,Formalise the rota,Move to a stable schedule with a coordinator per route and a substitution system.,3,true
textile-upcycling-s01,textile-upcycling,1,Recruit sewing instructors,Find 2-3 skilled sewists/designers to lead project-based sessions.,4,true
textile-upcycling-s02,textile-upcycling,2,Secure machines and space,Book a venue and source 6-10 working sewing machines (borrowed or donated).,6,false
textile-upcycling-s03,textile-upcycling,3,Collect donor textiles,Run a textile donation drive and sort usable fabric by type.,4,false
textile-upcycling-s04,textile-upcycling,4,Design beginner-friendly projects,"Prepare 3-4 projects (tote from jeans, patchwork cushion) with patterns and steps.",5,true
textile-upcycling-s05,textile-upcycling,5,Promote and register participants,Market the series and manage sign-ups sized to machine availability.,3,true
textile-upcycling-s06,textile-upcycling,6,Deliver the workshops,Teach the sessions with per-machine support and safety guidance.,12,false
textile-upcycling-s07,textile-upcycling,7,Showcase results,Hold a small exhibition or online gallery of finished pieces to recruit the next cohort.,2,true
plant-based-cooking-club-s01,plant-based-cooking-club,1,Find a kitchen venue,Book a community kitchen or rotate between members' homes for monthly sessions.,3,false
plant-based-cooking-club-s02,plant-based-cooking-club,2,Set the format,"Agree the model: shared cost, rotating menu themes, and one host-cook per session.",2,true
plant-based-cooking-club-s03,plant-based-cooking-club,3,Plan seasonal menus,Draft simple seasonal menus with shopping lists sized per group.,3,true
plant-based-cooking-club-s04,plant-based-cooking-club,4,Recruit members,"Invite a mixed group and emphasise the food-first, non-preachy framing.",3,true
plant-based-cooking-club-s05,plant-based-cooking-club,5,Host the first sessions,"Cook and eat together, sharing techniques and recipe cards.",8,false
plant-based-cooking-club-s06,plant-based-cooking-club,6,Publish the recipe collection,Compile tested recipes into a shared booklet or webpage for wider reach.,3,true
green-map-s01,green-map,1,Define categories and coverage area,"Agree the directory scope: repair, reuse, refill, sharing, food rescue.",2,true
green-map-s02,green-map,2,Crowdsource and research entries,Split the area among volunteers to research and verify entries by phone or visit.,10,true
green-map-s03,green-map,3,Build the map,Publish entries on an open map platform with categories and descriptions.,6,true
green-map-s04,green-map,4,Verify with listed businesses,Contact each business to confirm details and permission to be listed.,4,true
green-map-s05,green-map,5,Design a printable version,Create a printable one-page map/flyer for libraries and cafés.,4,true
green-map-s06,green-map,6,Launch and maintain,Promote the map and set a twice-yearly verification routine.,3,true
play-street-s01,play-street,1,Build resident support,Door-knock the street to gather signatures supporting a temporary closure.,5,false
play-street-s02,play-street,2,Apply for the street closure permit,Navigate the municipal permit process including traffic plan and notification requirements.,8,true
play-street-s03,play-street,3,Plan activities and safety,"Organise games, chalk zones, a shared table, and barriers/marshals for the closure points.",4,true
play-street-s04,play-street,4,Borrow equipment,"Source barriers, signage, games and furniture from the municipality and neighbours.",3,false
play-street-s05,play-street,5,Promote to the whole street,Letterbox every household with the date and how to get involved.,3,false
play-street-s06,play-street,6,Run the day,"Manage setup, marshals, activities and teardown.",8,false
play-street-s07,play-street,7,Gather momentum,Survey attendees on making it regular and share results with the municipality.,2,true
draft-proofing-brigade-s01,draft-proofing-brigade,1,Define the measure kit,"Choose safe, high-impact measures: draft strips, radiator foil, LED swaps, thermostat guidance.",4,true
draft-proofing-brigade-s02,draft-proofing-brigade,2,Train the brigade,"Run a hands-on training day covering measures, measurement and respectful home visits.",6,false
draft-proofing-brigade-s03,draft-proofing-brigade,3,Fund the materials,"Buy kits in bulk via a small grant, sponsorship or cost-price contributions.",4,true
draft-proofing-brigade-s04,draft-proofing-brigade,4,Recruit households,Prioritise energy-poor households via community organisations and simple sign-up.,5,true
draft-proofing-brigade-s05,draft-proofing-brigade,5,Set visit protocol,"Agree two-person visits, consent forms, and what the brigade will and won't touch (no gas/mains).",3,true
draft-proofing-brigade-s06,draft-proofing-brigade,6,Run visit rounds,"Schedule and complete home visits, logging measures installed per home.",12,false
draft-proofing-brigade-s07,draft-proofing-brigade,7,Measure and report savings,Estimate energy/cost savings per home and report results to funders and community.,3,true
hard-to-recycle-points-s01,hard-to-recycle-points,1,Identify recyclable streams and takers,Research which hard-to-recycle streams have genuine local recycling routes and confirm the receivers.,5,true
hard-to-recycle-points-s02,hard-to-recycle-points,2,Recruit host locations,"Sign up cafés, shops and offices willing to host labelled collection boxes.",5,true
hard-to-recycle-points-s03,hard-to-recycle-points,3,Design and place boxes,"Create clearly labelled, tidy collection boxes with accepted-items graphics.",4,false
hard-to-recycle-points-s04,hard-to-recycle-points,4,Organise the emptying rota,Set volunteer routes to empty boxes and deliver materials to recyclers monthly.,3,true
hard-to-recycle-points-s05,hard-to-recycle-points,5,Publicise the network,Publish a map of points and what each accepts.,3,true
hard-to-recycle-points-s06,hard-to-recycle-points,6,Track volumes and expand,"Log collected volumes, drop dead streams, add popular ones and new locations.",3,true
battery-awareness-campaign-s01,battery-awareness-campaign,1,Map official drop-off points,Compile every local battery/bulb return point into a simple map.,3,true
battery-awareness-campaign-s02,battery-awareness-campaign,2,Create campaign materials,"Design posters and a one-pager explaining why and where, in plain language.",4,true
battery-awareness-campaign-s03,battery-awareness-campaign,3,Distribute through local channels,"Place materials in shops, schools and building lobbies; post in neighbourhood groups.",4,false
battery-awareness-campaign-s04,battery-awareness-campaign,4,Run a collection booster week,Pair the campaign with a one-week household amnesty drive at a visible point.,5,false
battery-awareness-campaign-s05,battery-awareness-campaign,5,Report results,Share collected volumes and keep the map alive as a lasting resource.,2,true
guerrilla-gardening-s01,guerrilla-gardening,1,Scout neglected spots,"Identify tree pits, verges and abandoned planters where planting would be welcomed.",3,false
guerrilla-gardening-s02,guerrilla-gardening,2,Check the legal position,Understand local rules; where possible seek informal blessing from the municipality to avoid removal.,2,true
guerrilla-gardening-s03,guerrilla-gardening,3,Choose hardy native plants,"Select drought-tolerant, non-invasive natives that survive neglect.",2,true
guerrilla-gardening-s04,guerrilla-gardening,4,Make seed bombs together,Host a fun seed-bomb-making session as a recruitment activity.,3,false
guerrilla-gardening-s05,guerrilla-gardening,5,Plant and adopt spots,Plant the sites and have each participant adopt one spot for occasional watering.,4,false
second-hand-market-s01,second-hand-market,1,Secure venue and permit,"Book a square, hall or street section and obtain the market permit.",6,true
second-hand-market-s02,second-hand-market,2,Recruit sellers,Open stall registration with a small fee covering costs.,4,true
second-hand-market-s03,second-hand-market,3,Plan site layout and logistics,"Map stall pitches, access, waste stations and wet-weather plan.",4,true
second-hand-market-s04,second-hand-market,4,Promote to buyers,"Publicise through posters, socials and local press for footfall.",4,true
second-hand-market-s05,second-hand-market,5,Run the market day,"Manage setup, stall allocation, visitors and teardown.",8,false
second-hand-market-s06,second-hand-market,6,Handle unsold goods,Offer a donation point so unsold items go to charity rather than home or bin.,2,false
climate-quiz-night-s01,climate-quiz-night,1,Partner with a venue,Agree a quiet-night slot with a pub or café that benefits from the crowd.,2,true
climate-quiz-night-s02,climate-quiz-night,2,Write the quiz,"Create fun, surprising rounds that inform without lecturing.",4,true
climate-quiz-night-s03,climate-quiz-night,3,Arrange small prizes,Get sustainable prizes donated by local businesses.,2,true
climate-quiz-night-s04,climate-quiz-night,4,Promote the night,Publicise to reach beyond the usual green audience.,2,true
climate-quiz-night-s05,climate-quiz-night,5,Host the quiz,"MC the evening, score rounds and plug local projects between rounds.",4,false
sustainability-newsletter-s01,sustainability-newsletter,1,Define editorial focus,"Set the beat: local projects, events calendar, practical guides, interviews.",2,true
sustainability-newsletter-s02,sustainability-newsletter,2,Set up the publishing platform,Choose a newsletter/blog platform and design a simple template.,3,true
sustainability-newsletter-s03,sustainability-newsletter,3,Build a contributor pool,Recruit 3-5 writers/photographers who each cover one piece per issue.,4,true
sustainability-newsletter-s04,sustainability-newsletter,4,Publish the first issues,"Write, edit and publish the first 2-3 issues on a fixed schedule.",8,true
sustainability-newsletter-s05,sustainability-newsletter,5,Grow the audience,Cross-promote with local groups and gather reader feedback.,3,true
swap-board-s01,swap-board,1,Choose physical vs digital format,"Decide between a weatherproof physical board, a chat group, or both.",2,true
swap-board-s02,swap-board,2,Get placement permission,"For a physical board, agree a spot with a shop, building manager or municipality.",3,true
swap-board-s03,swap-board,3,Build/set up the board,Construct and mount the board or configure the digital group with clear categories and rules.,4,false
swap-board-s04,swap-board,4,Seed initial content,Ask 10-15 neighbours to post first offers so it never looks empty.,2,true
swap-board-s05,swap-board,5,Moderate and maintain,Keep content fresh and appropriate with a light monthly tidy-up.,2,true
solar-cooperative-s01,solar-cooperative,1,Form the founding team,"Assemble a core team covering technical, legal, financial and communications skills.",8,true
solar-cooperative-s02,solar-cooperative,2,Choose the model,Decide between a group-purchase scheme (bulk discount for homeowners) and a cooperative owning shared installations.,10,true
solar-cooperative-s03,solar-cooperative,3,Understand the regulatory framework,"Research local rules on grid connection, feed-in remuneration and self-consumption communities.",15,true
solar-cooperative-s04,solar-cooperative,4,Survey interest and roof potential,Register interested households/roof owners and pre-assess roof suitability.,12,true
solar-cooperative-s05,solar-cooperative,5,Set up the legal entity,"Found the cooperative or association with statutes, board and bank account.",15,true
solar-cooperative-s06,solar-cooperative,6,Tender to installers,Run a competitive tender for a qualified installer with member pricing.,12,true
solar-cooperative-s07,solar-cooperative,7,Arrange financing,"Structure member shares, bank finance or subsidy applications to fund installations.",15,true
solar-cooperative-s08,solar-cooperative,8,Run the member campaign,Hold info evenings and enrol members with clear contracts and expected returns.,12,false
solar-cooperative-s09,solar-cooperative,9,Oversee installations,"Coordinate site assessments, contracts and installation quality across member roofs.",20,false
solar-cooperative-s10,solar-cooperative,10,Set up operations and reporting,"Establish monitoring, maintenance contracts and annual member reporting.",8,true
community-renewable-s01,community-renewable,1,Build the municipal relationship,Win support from the municipality for hosting citizen-financed solar on a public roof.,12,true
community-renewable-s02,community-renewable,2,Shortlist and assess roofs,"Technically assess candidate roofs for structure, orientation and grid connection.",12,false
community-renewable-s03,community-renewable,3,Develop the business case,"Model costs, generation, tariffs and citizen-investor returns over 20-25 years.",15,true
community-renewable-s04,community-renewable,4,Establish the legal vehicle,Create the cooperative/company and the roof-lease and power-purchase agreements with the municipality.,20,true
community-renewable-s05,community-renewable,5,Raise citizen investment,Run a community share offer with clear prospectus and subscription process.,20,true
community-renewable-s06,community-renewable,6,Procure and build,"Tender, contract and supervise the installation through to commissioning.",25,false
community-renewable-s07,community-renewable,7,Launch publicly,Celebrate the switch-on publicly to build appetite for the next roof.,6,false
community-renewable-s08,community-renewable,8,Operate and report,"Run monitoring, maintenance, insurance and annual investor reporting.",10,true
energy-audit-service-s01,energy-audit-service,1,Develop the audit methodology,Create a standardised walk-through checklist and reporting template with an energy professional.,10,true
energy-audit-service-s02,energy-audit-service,2,Address liability,"Set clear advisory-only terms, disclaimers and insurance for volunteers entering homes.",8,true
energy-audit-service-s03,energy-audit-service,3,Train volunteer auditors,Deliver training with supervised practice audits before solo visits.,15,false
energy-audit-service-s04,energy-audit-service,4,Build the referral pipeline,"Partner with the municipality and social organisations to reach households, prioritising energy poverty.",8,true
energy-audit-service-s05,energy-audit-service,5,Schedule and run audits,"Book two-person visits, complete audits and deliver written recommendations.",20,false
energy-audit-service-s06,energy-audit-service,6,Connect to follow-up support,"Link households to subsidy programmes, installers and the draft-proofing brigade.",6,true
energy-audit-service-s07,energy-audit-service,7,Evaluate impact,Follow up on implemented measures and estimate aggregate savings.,5,true
rain-garden-s01,rain-garden,1,Identify a suitable paved site,"Find over-paved space (school yard corner, parking edge) where infiltration would help.",5,false
rain-garden-s02,rain-garden,2,Get technical and permit approval,"Confirm no utilities below, drainage suitability and municipal permission to depave.",12,true
rain-garden-s03,rain-garden,3,Design the rain garden,"Design basin depth, overflow, soil profile and water-tolerant native planting.",8,true
rain-garden-s04,rain-garden,4,Fund materials and machinery,"Budget for machinery hire, soil, gravel and plants; seek a green-infrastructure grant.",6,true
rain-garden-s05,rain-garden,5,Organise the depave day,"Break and remove paving with proper tools, safety gear and disposal of rubble.",12,false
rain-garden-s06,rain-garden,6,Build and plant the garden,"Shape the basin, amend soil and plant over one or two community days.",12,false
rain-garden-s07,rain-garden,7,Monitor performance,Check infiltration after storms and maintain planting through year one.,4,false
green-roof-pilot-s01,green-roof-pilot,1,Secure the host building,Agree with a community building owner to host a demonstration installation.,8,true
green-roof-pilot-s02,green-roof-pilot,2,Commission structural assessment,Have an engineer verify load capacity and waterproofing condition.,8,false
green-roof-pilot-s03,green-roof-pilot,3,Design the system,"Choose extensive green roof or facade system, plant palette and irrigation approach.",8,true
green-roof-pilot-s04,green-roof-pilot,4,Fund the pilot,"Combine municipal green-building subsidies, sponsorship and crowdfunding.",10,true
green-roof-pilot-s05,green-roof-pilot,5,Obtain permits,Secure building permission and any heritage/facade approvals.,8,true
green-roof-pilot-s06,green-roof-pilot,6,Install with professionals and volunteers,Contract specialist work; involve volunteers in planting and finishing.,15,false
green-roof-pilot-s07,green-roof-pilot,7,Use it as a demonstrator,Install monitoring and signage; host open visits to inspire replication.,5,false
air-quality-network-s01,air-quality-network,1,Choose sensor platform,Select an established open-hardware sensor design with a public data platform.,5,true
air-quality-network-s02,air-quality-network,2,Fund the sensor fleet,Budget 15-30 sensors and raise funds via micro-grants or host contributions.,5,true
air-quality-network-s03,air-quality-network,3,Recruit sensor hosts,Sign up households/businesses across a representative grid with power and WiFi at mounting points.,6,true
air-quality-network-s04,air-quality-network,4,Run sensor build workshops,Assemble and flash sensors together in soldering workshops.,10,false
air-quality-network-s05,air-quality-network,5,Install and calibrate,"Mount sensors correctly, connect to the data platform and cross-check readings.",10,false
air-quality-network-s06,air-quality-network,6,Analyse and publish findings,Produce accessible analyses of hotspots and trends for residents and the municipality.,8,true
air-quality-network-s07,air-quality-network,7,Maintain the network,Set a maintenance rota for offline or drifting sensors.,4,false
stream-restoration-s01,stream-restoration,1,Assess the stream section,"Document current condition, pollution sources and restoration potential with expert input.",10,false
stream-restoration-s02,stream-restoration,2,Engage the water authority,Build a working relationship with the responsible authority; align on scope and permissions.,12,true
stream-restoration-s03,stream-restoration,3,Develop the restoration plan,"Plan invasive removal, native replanting, bank stabilisation and habitat features within permitted scope.",10,true
stream-restoration-s04,stream-restoration,4,Fund the works,Apply for environmental grants and secure in-kind support from the authority.,8,true
stream-restoration-s05,stream-restoration,5,Run volunteer work days,Deliver the manual works in supervised volunteer days across seasons.,25,false
stream-restoration-s06,stream-restoration,6,Monitor recovery,Track indicator species and water quality before/after with citizen-science methods.,8,false
stream-restoration-s07,stream-restoration,7,Report and celebrate,Publish results with the authority and mark completion with the community.,4,true
wildlife-corridor-s01,wildlife-corridor,1,Map the corridor route,Identify a habitat connection route across private and public land.,8,true
wildlife-corridor-s02,wildlife-corridor,2,Negotiate with landowners,Secure planting agreements with each landowner along the route.,15,true
wildlife-corridor-s03,wildlife-corridor,3,Design species mix,"Choose native hedgerow species for food, shelter and connectivity value.",5,true
wildlife-corridor-s04,wildlife-corridor,4,Source plants and funding,Order bare-root whips in season and cover costs via biodiversity grants.,6,true
wildlife-corridor-s05,wildlife-corridor,5,Run planting days,"Plant sections with volunteers over the dormant season, with protection against browsing.",18,false
wildlife-corridor-s06,wildlife-corridor,6,Establish maintenance agreements,Agree who maintains each section for the establishment years.,5,true
wildlife-corridor-s07,wildlife-corridor,7,Monitor wildlife use,"Set up simple wildlife monitoring (tracks, cameras, surveys) along the corridor.",5,false
community-orchard-s01,community-orchard,1,Secure long-term land access,"Negotiate a 10+ year agreement, since trees need years to bear fruit.",12,true
community-orchard-s02,community-orchard,2,Design the orchard,"Plan spacing, pollination partners and heritage local varieties with expert advice.",8,true
community-orchard-s03,community-orchard,3,Fund trees and infrastructure,"Budget trees, stakes, guards and water access; run adopt-a-tree sponsorships.",6,true
community-orchard-s04,community-orchard,4,Prepare the site,"Clear, mark out and prepare planting pits before the dormant season.",10,false
community-orchard-s05,community-orchard,5,Hold the planting festival,Plant the orchard in a community celebration with correct technique demos.,8,false
community-orchard-s06,community-orchard,6,Set up the care group,"Train a stewardship group in formative pruning, watering and pest care.",8,false
community-orchard-s07,community-orchard,7,Plan annual traditions,Establish blossom day and harvest festival to keep the community attached year-round.,4,true
sme-sustainability-audit-s01,sme-sustainability-audit,1,Build the audit framework,"Adapt a lightweight SME framework covering energy, waste, procurement and transport.",10,true
sme-sustainability-audit-s02,sme-sustainability-audit,2,Recruit professional volunteers,"Enlist volunteers with sustainability, engineering or finance backgrounds.",6,true
sme-sustainability-audit-s03,sme-sustainability-audit,3,Pilot with friendly businesses,Test the audit with 2-3 supportive businesses and refine for time-poor owners.,12,false
sme-sustainability-audit-s04,sme-sustainability-audit,4,Formalise the offer,"Define scope, confidentiality terms and a professional report template.",5,true
sme-sustainability-audit-s05,sme-sustainability-audit,5,Recruit client businesses,Promote via the business association and chamber of commerce.,6,true
sme-sustainability-audit-s06,sme-sustainability-audit,6,Deliver audit cycles,Match volunteer pairs to businesses and deliver audits with prioritised action plans.,20,false
sme-sustainability-audit-s07,sme-sustainability-audit,7,Showcase wins,Publish anonymised case studies of savings achieved to attract the next cohort.,4,true
cargo-bike-share-s01,cargo-bike-share,1,Choose the operating model,Decide between joining an existing sharing platform/network and building a standalone scheme.,6,true
cargo-bike-share-s02,cargo-bike-share,2,Fund the fleet,"Finance 2-5 cargo bikes via grants, sponsorship from local businesses or municipal mobility funds.",8,true
cargo-bike-share-s03,cargo-bike-share,3,Set up booking and access,Deploy a booking system and key handover solution (host locations or smart locks).,8,true
cargo-bike-share-s04,cargo-bike-share,4,Recruit host stations,Sign up cafés/shops as bike homes handling handovers during opening hours.,6,true
cargo-bike-share-s05,cargo-bike-share,5,Sort insurance and user terms,Arrange bike insurance and clear user agreements covering damage and liability.,6,true
cargo-bike-share-s06,cargo-bike-share,6,Launch and onboard riders,Run try-out days teaching cargo bike handling and sign up members.,8,false
cargo-bike-share-s07,cargo-bike-share,7,Maintain the fleet,Establish regular maintenance with a local bike shop or volunteer mechanics.,5,false
cargo-bike-share-s08,cargo-bike-share,8,Track usage and expand,Monitor bookings and user feedback; add bikes/stations where demand is proven.,4,true
climate-advocacy-group-s01,climate-advocacy-group,1,Found the group,"Gather a committed core, agree scope (advocacy vs. assembly push) and working principles.",6,true
climate-advocacy-group-s02,climate-advocacy-group,2,Research the policy landscape,"Analyse the municipality's climate plans, budgets and decision calendar to find leverage points.",12,true
climate-advocacy-group-s03,climate-advocacy-group,3,Define concrete asks,"Formulate 2-3 specific, costed, achievable policy proposals rather than general demands.",8,true
climate-advocacy-group-s04,climate-advocacy-group,4,Build a broad coalition,"Ally with local organisations, businesses and scientists to widen legitimacy.",10,true
climate-advocacy-group-s05,climate-advocacy-group,5,Engage decision-makers,Meet councillors and officials; present proposals constructively and persistently.,12,false
climate-advocacy-group-s06,climate-advocacy-group,6,Mobilise public support,"Run petitions, public meetings and local media work around the asks.",12,true
climate-advocacy-group-s07,climate-advocacy-group,7,Track and sustain,"Monitor decisions, celebrate wins publicly and maintain momentum between milestones.",8,true
